sample;date;MLD;temp;PW_frac;chl_sens;PAR_satellite;sal;O2_conc;depth
PRUEF-S001;2016-08-01;10.433;7.397;0.2723;0.234;27.573;35.077;286.36;32.008
PRUEF-S002;2016-08-15;20.252;7.143;0.2184;0.256;24.502;35.058;286.63;28.215
PRUEF-S003;2016-09-01;35.368;6.875;0.1679;0.784;22.397;35.061;294.294;27.383
PRUEF-S004;2016-09-15;44.465;6.094;0.1909;1.013;18.184;35.028;294.125;27.677
PRUEF-S005;2016-10-01;60.788;5.602;0.1989;1.565;13.735;35.133;303.051;29.766
PRUEF-S006;2016-10-15;71.557;4.867;0.1595;1.977;13.196;34.906;302.626;27.518
PRUEF-S007;2016-11-01;83.507;4.265;0.0688;2.386;7.439;34.963;306.833;30.798
PRUEF-S008;2016-11-15;97.651;3.568;0.0798;1.934;3.678;34.96;311.272;29.099
PRUEF-S009;2016-12-01;110.483;3.318;0.1055;1.79;1.557;35.035;311.42;29.795
PRUEF-S010;2016-12-15;117.077;3.256;0.0886;1.036;0.452;34.929;316.826;30.66
PRUEF-S011;2017-01-01;114.984;2.94;0.0692;0.694;0.0;35.024;314.065;27.359
PRUEF-S012;2017-01-15;116.628;2.803;0.0911;0.415;1.537;35.124;318.086;30.976
PRUEF-S013;2017-02-01;106.093;3.634;0.0589;0.316;3.542;35.139;313.331;31.118
PRUEF-S014;2017-02-15;97.493;3.921;0.1094;0.49;4.429;34.969;310.458;29.525
PRUEF-S015;2017-03-01;83.281;4.002;0.1087;0.882;9.95;35.036;309.569;31.619
PRUEF-S016;2017-03-15;72.74;4.827;0.104;1.293;10.519;35.065;302.824;30.511
PRUEF-S017;2017-04-01;60.942;5.651;0.103;1.655;16.565;35.041;296.847;32.747
PRUEF-S018;2017-04-15;47.444;6.001;0.1383;2.056;19.44;35.126;294.84;31.318
PRUEF-S019;2017-05-01;31.352;6.62;0.2453;2.241;22.711;35.056;290.36;27.818
PRUEF-S020;2017-05-15;21.231;7.346;0.2621;2.062;23.751;34.96;292.124;31.109
PRUEF-S021;2017-06-01;11.061;7.458;0.2559;1.793;27.857;35.003;285.454;30.534
PRUEF-S022;2017-06-15;10.454;7.66;0.2767;1.011;29.238;35.1;282.173;27.276
PRUEF-S023;2017-07-01;1.367;7.736;0.287;0.66;27.133;35.139;287.162;28.543
PRUEF-S024;2017-07-15;10.962;7.9;0.2922;0.18;29.577;35.149;287.881;30.623
PRUEF-S025;2017-08-01;7.379;7.726;0.2361;0.252;27.813;35.055;287.25;32.729
PRUEF-S026;2017-08-15;17.509;7.219;0.2316;0.386;25.125;35.005;287.548;30.397
PRUEF-S027;2017-09-01;37.032;6.771;0.2307;0.857;21.525;35.007;294.09;31.418
PRUEF-S028;2017-09-15;44.752;6.32;0.1295;1.301;20.6;35.128;292.03;29.185
PRUEF-S029;2017-10-01;60.188;5.418;0.1423;1.842;15.448;34.995;303.309;32.888
PRUEF-S030;2017-10-15;69.159;4.806;0.0908;1.939;11.181;34.858;303.167;28.783
PRUEF-S031;2017-11-01;88.878;4.174;0.101;2.208;8.172;35.13;304.231;28.61
PRUEF-S032;2017-11-15;96.162;4.057;0.0546;2.232;5.098;34.936;309.345;27.661
PRUEF-S033;2017-12-01;103.84;3.5;0.0276;1.717;2.284;34.982;309.807;30.736
PRUEF-S034;2017-12-15;112.737;3.348;0.0809;1.045;0.957;35.005;315.802;32.895
PRUEF-S035;2018-01-01;115.446;2.765;0.0979;;1.104;35.046;314.159;31.706
PRUEF-S036;2018-01-15;116.447;2.935;0.0071;;2.564;34.882;314.134;31.999
PRUEF-S037;2018-02-01;103.617;3.491;0.0369;;1.012;34.932;311.03;27.513
PRUEF-S038;2018-02-15;100.802;3.814;0.0335;;3.592;35.108;312.246;29.988
PRUEF-S039;2018-03-01;83.916;4.209;0.0785;;7.153;34.966;311.299;31.798
PRUEF-S040;2018-03-15;74.436;4.562;0.1715;;10.699;34.857;304.53;28.445
PRUEF-S041;2018-04-01;63.19;5.511;0.1401;;13.691;35.03;298.165;32.643
PRUEF-S042;2018-04-15;51.139;5.989;0.1298;;18.256;35.079;297.46;32.37
PRUEF-S043;2018-05-01;36.73;6.755;0.1779;;21.2;34.914;289.576;28.757
PRUEF-S044;2018-05-15;17.496;7.49;0.1897;;24.251;34.891;288.113;28.474
PRUEF-S045;2018-06-01;12.85;7.475;0.25;;27.131;34.982;285.135;32.86
PRUEF-S046;2018-06-15;3.22;7.99;0.2844;;27.946;35.062;283.141;30.538
PRUEF-S047;2018-07-01;2.287;8.294;0.2976;;27.416;35.024;288.571;31.53
PRUEF-S048;2018-07-15;5.806;7.879;0.2105;;26.974;35.095;286.989;27.513
PRUEF-S049;2018-08-01;12.165;7.75;0.2832;;27.214;35.019;284.412;31.055
PRUEF-S050;2018-08-15;17.217;7.491;0.2069;;24.164;35.125;285.821;31.868
PRUEF-S051;2018-09-01;27.606;6.959;0.232;;21.091;34.886;288.602;29.892
PRUEF-S052;2018-09-15;42.984;6.393;0.1444;;18.206;35.061;297.473;31.86
PRUEF-S053;2018-10-01;58.582;5.365;0.1332;;13.842;34.899;297.423;27.161
PRUEF-S054;2018-10-15;69.709;5.038;0.121;;12.529;34.978;303.228;28.112
PRUEF-S055;2018-11-01;83.023;3.969;0.1304;;9.141;34.903;310.459;28.317
PRUEF-S056;2018-11-15;100.217;3.553;0.0373;;3.912;35.054;313.051;32.322
PRUEF-S057;2018-12-01;103.579;3.524;0.0753;;3.152;35.125;314.817;32.239
PRUEF-S058;2018-12-15;116.168;3.249;0.0662;;1.235;35.104;318.097;27.583
PRUEF-S059;2019-01-01;113.87;3.249;0.0938;0.814;1.274;35.129;317.967;30.215
PRUEF-S060;2019-01-15;114.722;3.349;0.0153;0.41;0.812;34.988;311.844;31.919
PRUEF-S061;2019-02-01;109.624;3.136;0.033;0.301;2.318;34.872;315.917;31.272
PRUEF-S062;2019-02-15;96.541;3.616;0.033;0.249;5.29;35.034;309.804;29.256
PRUEF-S063;2019-03-01;90.154;3.989;0.1265;0.613;6.681;35.036;305.285;30.738
PRUEF-S064;2019-03-15;77.201;5.09;0.1637;1.251;12.206;34.936;303.483;32.146
PRUEF-S065;2019-04-01;62.83;5.724;0.1845;1.67;14.813;35.035;297.77;27.339
PRUEF-S066;2019-04-15;49.528;6.015;0.1802;2.075;19.259;35.077;293.019;30.024
PRUEF-S067;2019-05-01;34.852;6.99;0.1972;2.126;20.426;34.878;296.205;31.09
PRUEF-S068;2019-05-15;21.56;7.337;0.2616;2.011;26.042;35.029;291.161;27.311
PRUEF-S069;2019-06-01;7.551;7.542;0.2566;1.745;28.321;34.871;289.183;29.498
PRUEF-S070;2019-06-15;11.571;7.94;0.2451;1.215;26.842;35.123;283.706;27.82
PRUEF-S071;2019-07-01;4.963;7.786;0.2275;0.848;29.958;35.136;287.167;30.54
PRUEF-S072;2019-07-15;5.164;7.706;0.259;0.27;28.815;34.878;289.049;30.121
PRUEF-S073;2019-08-01;14.361;7.588;0.1995;0.313;27.095;35.144;289.712;28.606
PRUEF-S074;2019-08-15;16.795;7.451;0.2576;0.157;26.562;35.141;289.124;31.631
PRUEF-S075;2019-09-01;28.124;6.985;0.2015;0.933;20.253;34.902;293.015;30.396
PRUEF-S076;2019-09-15;43.808;6.024;0.1461;1.262;20.558;34.974;293.68;32.153
PRUEF-S077;2019-10-01;59.923;5.574;0.1415;1.749;14.576;34.91;299.161;27.161
PRUEF-S078;2019-10-15;69.749;4.647;0.1286;2.126;10.652;34.98;301.491;27.661
PRUEF-S079;2019-11-01;88.017;4.104;0.0889;2.005;8.778;34.991;307.452;29.777
PRUEF-S080;2019-11-15;100.461;3.959;0.0604;1.883;3.504;34.921;311.423;31.511
PRUEF-S081;2019-12-01;112.227;3.439;0.0801;1.818;2.105;35.055;313.546;29.905
PRUEF-S082;2019-12-15;111.267;2.902;0.0868;1.107;0.0;35.053;316.198;29.977
PRUEF-S083;2020-01-01;110.946;3.059;0.0542;0.768;0.0;35.106;316.049;28.029
PRUEF-S084;2020-01-15;112.975;3.007;0.0892;0.518;1.441;34.956;312.672;27.399
PRUEF-S085;2020-02-01;107.607;3.075;0.033;0.149;2.954;34.984;313.108;29.23
PRUEF-S086;2020-02-15;104.302;4.001;0.0785;0.247;3.466;34.981;309.767;29.693
PRUEF-S087;2020-03-01;82.859;4.38;0.0533;0.675;7.37;34.948;311.342;27.887
PRUEF-S088;2020-03-15;71.21;4.991;0.0815;1.014;10.684;35.012;302.872;29.565
PRUEF-S089;2020-04-01;63.951;5.626;0.1611;1.893;15.808;35.015;300.935;31.147
PRUEF-S090;2020-04-15;43.961;5.819;0.1811;1.877;19.003;34.989;292.426;32.432
PRUEF-S091;2020-05-01;35.683;6.983;0.2417;2.209;21.067;35.032;294.544;32.32
PRUEF-S092;2020-05-15;22.013;7.503;0.2185;2.054;25.271;35.087;288.27;30.702
PRUEF-S093;2020-06-01;11.387;7.878;0.2646;1.666;26.465;34.922;287.124;31.743
PRUEF-S094;2020-06-15;4.343;8.144;0.2003;1.276;30.068;35.055;287.326;27.932
PRUEF-S095;2020-07-01;7.699;8.013;0.2406;0.604;29.795;34.863;283.561;27.724
PRUEF-S096;2020-07-15;4.158;7.804;0.2683;0.168;26.784;34.969;286.663;30.126
